date,active_power,current,voltage,reactive_power,apparent_power,power_factor,main,description,temp,feels_like,temp_min,temp_max,pressure,humidity,speed,deg
2024-01-05 22:20:00,514.1,4.39,128.2,229.01,562.8,0.9135,Clouds,few clouds,8.72,8.0,8.72,8.72,1012,52,1.68,161
2024-01-05 22:21:00,514.1,4.39,128.2,229.01,562.8,0.9135,Clouds,scattered clouds,9.25,8.61,9.25,9.25,1012,51,1.68,161
2024-01-05 22:22:00,514.1,4.39,128.2,229.01,562.8,0.9135,Clouds,scattered clouds,9.25,8.61,9.25,9.25,1012,51,1.68,161
2024-01-05 22:23:00,815.5,6.64,127.2,219.83,844.61,0.9655,Clouds,few clouds,8.72,8.0,8.72,8.72,1012,52,1.68,161
2024-01-05 22:24:00,447.0,3.85,128.4,211.1,494.34,0.9042,Clouds,few clouds,8.72,8.0,8.72,8.72,1012,52,1.68,161
2024-01-05 22:25:00,447.0,3.85,128.4,211.1,494.34,0.9042,Clouds,few clouds,8.72,8.0,8.72,8.72,1012,52,1.68,161
2024-01-05 22:26:00,447.0,3.85,128.4,211.1,494.34,0.9042,Clouds,few clouds,8.72,8.0,8.72,8.72,1012,52,1.68,161
2024-01-05 22:27:00,292.0,2.81,128.7,213.37,361.65,0.8074,Clouds,scattered clouds,9.25,8.61,9.25,9.25,1012,52,1.68,161
2024-01-05 22:28:00,205.5,1.79,129.0,105.31,230.91,0.89,Clouds,few clouds,8.72,8.0,8.72,8.72,1012,52,1.68,161
2024-01-05 22:29:00,273.1,2.49,128.7,167.66,320.46,0.8522,Clouds,scattered clouds,9.25,8.61,9.25,9.25,1012,52,1.68,161
2024-01-05 22:30:00,273.1,2.49,128.7,167.66,320.46,0.8522,Clouds,scattered clouds,9.25,8.61,9.25,9.25,1012,52,1.68,161
2024-01-05 22:31:00,273.1,2.49,128.7,167.66,320.46,0.8522,Clouds,scattered clouds,9.25,8.61,9.25,9.25,1012,52,1.68,161
2024-01-05 22:32:00,273.1,2.49,128.7,167.66,320.46,0.8522,Clouds,scattered clouds,9.27,8.57,9.27,9.27,1012,50,1.74,158
2024-01-05 22:33:00,273.1,2.49,128.7,167.66,320.46,0.8522,Clouds,scattered clouds,9.27,8.57,9.27,9.27,1012,50,1.74,158
2024-01-05 22:34:00,273.1,2.49,128.7,167.66,320.46,0.8522,Clouds,scattered clouds,9.25,8.61,9.25,9.25,1012,52,1.68,161
2024-01-05 22:35:00,273.1,2.49,128.7,167.66,320.46,0.8522,Clouds,scattered clouds,9.25,8.61,9.25,9.25,1012,52,1.68,161
